นิติบุคคลจัดตั้งเดือนมกราคม  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,วันที่จดทะเบียน," ทุนจดทะเบียน
 (บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
5,0845558000581,บจ.เอส พี โลจิสติกส์ 2015 จำกัด,15/1/2558," 5,000,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้า และคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศ,37/2 หมู่ที่ 5  ต.มะลวน อ.พุนพิน จ.สุราษฎร์ธานี 84130
6,0843558000229,หจ.ศรีมณตรา โลจิสติกส์,21/1/2558," 5,000,000 ",ขนส่งสินค้า,264/4 หมู่ที่ 6  ต.ท่าอุแท อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84160
7,0845558000166,บจ.มาย ไดเวอร์ แคเรียร์ จำกัด,6/1/2558," 5,000,000 ",รับจ้างจัดหาครูสอนดำน้ำให้นิติบุคคล,18/28 หมู่ที่ 1  ต.เกาะเต่า อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
8,0845558000948,บจ.เกาะเต่า โปรวีดีโอ จำกัด,28/1/2558," 5,000,000 ",ประกอบกิจการให้บริการและให้คำแนะนำปรึกษาสอนการถ่ายภาพ และถ่ายวีดีโอใต้น้ำรวมทั้งอื่น ๆ ที่เกี่ยวข้อง,45 หมู่ที่ 3  ต.เกาะเต่า อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
9,0843558000075,หจ.เรนโบว์ (ประเทศไทย),7/1/2558," 5,000,000 ",ให้บริการด้านบริหารด้านการจัดการองค์กร โรงแรม และรีสอร์ท,23/310 หมู่ที่ 4  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
10,0845558000069,บจ.บี แซด มัม จำกัด,5/1/2558," 4,000,000 ",ประกอบกิจการการผลิตผลไม้กระป๋องและการผลิตแยมผลไม้ ผลิตอาหารสำเร็จรูป,38/4 หมู่ที่ 1  ต.เกาะเต่า อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
11,0845558000131,บจ.ฟินิกซ์ ไดเว่อร์ จำกัด,6/1/2558," 4,000,000 ",ประกอบกิจการเกี่ยวกับการดำน้ำ ฝึกสอนดำน้ำ รวมทั้งจำหน่ายหรือให้เช่าอุปกรณ์,1 หมู่ที่ 1  ต.เกาะเต่า อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
12,0845558000212,บจ.นาตาลี ฟูดส์ แอนด์ เบฟเวอเรจ จำกัด,7/1/2558," 4,000,000 ",ประกอบธุรกิจบริการจำหน่ายอาหารและเครื่องดื่ม,111 หมู่ที่ 1  ต.บ้านใต้ อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
13,0845558000298,บจ.ซูซ รีทรีท จำกัด,8/1/2558," 4,000,000 ",ประกอบกิจการสอนโยคะ จำหน่ายหนังสือเกี่ยวกับโยคะ,58/6 หมู่ที่ 8  ต.เกาะพะงัน อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
14,0845558000450,บจ.นิว ไลฟ์ แอดเวนเจอร์ จำกัด,14/1/2558," 4,000,000 ",ประกอบกิจการสอนกีฬาทางน้ำทุกประเภท,100/4 หมู่ที่ 1  ต.บ้านใต้ อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
15,0845558000557,บจ.โอเพ่น วอเตอร์ ไดว์เวอร์ส จำกัด,15/1/2558," 4,000,000 ",ให้คำแนะนำปรึกษาการดำน้ำ กีฬาทางน้ำ,5/44 หมู่ที่ 2  ต.เกาะเต่า อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
16,0845558000743,บจ.ไดฟ์วิ่ง สไตล์ จำกัด,21/1/2558," 4,000,000 ",ประกอบกิจการสอนดำน้ำ,3/22 หมู่ที่ 1  ต.เกาะเต่า อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
17,0845558000760,บจ.ไดฟ์ คาเรียร์.คอม จำกัด,22/1/2558," 4,000,000 ",ประกอบกิจการสอนดำน้ำ,29/1 หมู่ที่ 3  ต.เกาะเต่า อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
18,0845558000832,บจ.เซม เซม ฮอทสพอท จำกัด,26/1/2558," 4,000,000 ",ประกอบกิจการจำหน่ายอาหารและเครื่องดื่ม,130/19 หมู่ที่ 6  ต.บ้านใต้ อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
19,0845558000981,บจ.โฮม ฟร็อม โฮม.ทีเอช จำกัด,29/1/2558," 4,000,000 ",ประกอบกิจการให้เช่าที่พักอาศัย รีสอร์ท บังกะโล,64/2 หมู่ที่ 2  ต.เกาะพะงัน อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
20,0845558000999,บจ.เกาะพะงัน ไคท์บอร์ดดิ้ง แอนด์ เฮ้าส์ จำกัด,29/1/2558," 4,000,000 ",ประกอบให้คำปรึกษากิจกรรมกีฬาทางน้ำ,90/9 หมู่ที่ 1  ต.เกาะพะงัน อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280
21,0845558000972,บจ.สมุย  รีแฮบ  เซ็นเตอร์ จำกัด,29/1/2558," 4,000,000 ",ประกอบกิจการให้คำปรึกษา บริการบำบัดผู้ติดยาเสพติด,105/41 หมู่ที่ 6  ต.มะเร็ต อ.เกาะสมุย จ.สุราษฎร์ธานี 84310
22,0845558000310,บจ.สมุยแวนทัวร์ ทรานสปอร์ต (ไทยแลนด์) จำกัด,9/1/2558," 4,000,000 ",ประกอบกิจการให้เช่ารถยนต์ และรถจักรยานยนต์,184/6 หมู่ที่ 2  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
23,0845558000468,บจ.ฟลอเรนเทีย จำกัด,14/1/2558," 4,000,000 ",จำหน่ายอาหารและเครื่องดื่มที่มีและไม่มีแอลกอฮอร์ เบเกอร์รี่,37/69 หมู่ที่ 3  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
24,0845558000484,บจ.นีโอ โคสโม สมุย จำกัด,14/1/2558," 4,000,000 ",ประกอบกิจการบริการรับจองห้องพัก,100/42 หมู่ที่ 1  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
25,0845558000492,บจ.ซามา สมุย จำกัด,14/1/2558," 4,000,000 ",จำหน่ายอาหารและเครื่องดื่ม ผับ บาร์,14/3 หมู่ที่ 4  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
26,0845558000620,บจ.สายธาร สมุย ดีเวลลอปเม้นท์ จำกัด,16/1/2558," 4,000,000 ",จัดการ ดูแล บริหาร ที่พักอาศัย โครงการต่างๆ,91/20 หมู่ที่ 6  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
27,0845558000778,บจ.ซาวาดิซเซิล จำกัด,22/1/2558," 4,000,000 ",ประกอบกิจการดูแลจัดการ เกี่ยวกับอสังหาริมทรัพย์ผลประโยชน์ของบุคคลอื่น,141/128 หมู่ที่ 6  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
28,0845558000051,บจ.เพ้นท์บอล ปาร์ตี้ อารีนา จำกัด,5/1/2558," 4,000,000 ",ประกอบกิจการให้บริการกีฬาประเภทเพ้นท์บอล,28/32 หมู่ที่ 1  ต.แม่น้ำ อ.เกาะสมุย จ.สุราษฎร์ธานี 84330
29,0845558000531,บจ.ใจน่า พาราไดซ์ จำกัด,14/1/2558," 3,500,000 ",จำหน่ายอาหารและเครื่องดื่ม,248/9 หมู่ที่ 1  ต.แม่น้ำ อ.เกาะสมุย จ.สุราษฎร์ธานี 84330
